gene_symbol	ensembl_gene_id	description	module	degree	hub_score	max_diff	padj	protein_atlas	gene_cards	receptor	uro_receptor	keep	go_terms	go_condensed	mean_expr_UroA	mean_expr_UroB	mean_expr_UroC	mean_expr_GU	mean_expr_BaSq	rwr_score
MMP3	ENSG00000149968	matrix metallopeptidase 3	5	108	0.26	1.3	4.4e-32	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.562342082828028	0.0627591727788874	-0.259915071063881	0.308865763419951	0.733902481892642	0.00121810943154246
MMP9	ENSG00000100985	matrix metallopeptidase 9	5	246	0.55	1.13	2.1e-32	ambiguous	NA	NA	NA	review	urinary bladder cancer	Bladder-related	-0.654161052789918	0.232802904605261	-0.0376994249981127	0.0805956055853068	0.479726579194511	0.00294374467769823
NES	ENSG00000132688	nestin	5	104	0.24	1.2	1.5e-13	ambiguous	bladder_related	NA	NA	review	Not annotated	Not annotated	-0.494830986762336	-0.341669324966551	0.707162510703218	0.0578508480559317	0.15547827013173	0.0012527205446387
POU5F1	ENSG00000204531	POU class 5 homeobox 1	5	132	0.28	1.4	8.5e-20	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.231024142167489	-0.350528831809079	0.302812800341451	0.666396448023002	-0.734109136646855	0.00247068847144149
SERPINE1	ENSG00000106366	serpin family E member 1	5	98	0.24	1.11	8.6e-06	uro_cells	NA	NA	NA	yes	urinary bladder cancer	Bladder-related	-0.1313852293303	0.105955373854281	-0.454959112124494	-0.124411495818047	0.652613805788984	0.00220009322874738
SHH	ENSG00000164690	sonic hedgehog signaling molecule	5	136	0.29	1.36	1.3e-38	ligand	NA	NA	NA	review	Not annotated	Not annotated	0.556143594668126	0.331525179949755	0.201955431853799	-0.805467935050457	-0.526705370323679	0.00258781005235933
SNAI1	ENSG00000124216	snail family transcriptional repressor 1	5	150	0.35	1.1	2.3e-26	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.595599478933644	-0.208872982887387	0.184544865910288	0.0260617497988262	0.504895303916209	0.00254251928185822
SNAI2	ENSG00000019549	snail family transcriptional repressor 2	5	114	0.27	2.1	2.6e-53	uro_cells	NA	NA	NA	yes	urinary bladder cancer; bladder carcinoma	Bladder-related	0.0786877985972552	0.193022191373113	-0.203257711048471	-1.15977996234846	0.937775383216797	0.00238216442345621
SOX9	ENSG00000125398	SRY-box transcription factor 9	5	132	0.28	1.54	4.4e-35	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.547723121279612	-0.0651237201181586	-0.292754174738343	0.315568753999087	0.993692149592421	0.00144098250170507
SPP1	ENSG00000118785	secreted phosphoprotein 1	5	132	0.32	1.21	3.9e-10	uro_cells	NA	NA	NA	yes	urinary bladder cancer	Bladder-related	-0.298403709915127	0.3865306774832	-0.744131128090171	0.115036142968554	0.470230032338994	0.00135182806365342
TGFB1	ENSG00000105329	transforming growth factor beta 1	5	190	0.43	1.39	3.2e-20	ligand	NA	NA	NA	no	urinary bladder cancer; bladder carcinoma	Bladder-related	0.0626921729358412	0.15695714862207	-0.307276190038545	-0.836193134941557	0.556568877214807	0.0026390378739809
TIMP1	ENSG00000102265	TIMP metallopeptidase inhibitor 1	5	106	0.26	1.11	3.2e-15	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.420054509660851	-0.124765635922025	-0.0885152286593663	-0.287756117513195	0.690629546890095	0.00113939916107443
WNT5A	ENSG00000114251	Wnt family member 5A	5	88	0.18	1.1	4.4e-11	ligand	NA	NA	NA	review	Not annotated	Not annotated	0.0544937726232874	0.467077845241633	0.102840050353019	-0.630212437543678	0.144377037257123	0.00228700128306777
